,restaurantsId,name,averageRating,establishmentTypeAndCuisineTags
8912,d10539996,Dashanzi,5.0,Chinese Japanese Sushi Asian
8913,d2034920,Namak,5.0,Indian
8914,d8010527,Saptami,5.0,Indian
8915,d1008614,Mabruk,5.0,Lebanese Mediterranean Middle Eastern
8916,d26582107,FUMI - East Asian Spice Trail,5.0,Chinese Japanese Sushi Asian Thai
8917,d17728654,Citrus Cafe,5.0,Italian Indian Cajun & Creole European Asian
8918,d15223662,Ummrao,5.0,Indian
8919,d804433,Kebabs & Kurries,5.0,Indian
8920,d3163674,Jyran - Tandoor Dining & Lounge,4.5,Indian
8921,d21511592,Rasoi Kitchen & Bar,5.0,Indian
8922,d19428928,Tanatan Shivaji Park,5.0,Indian
8923,d1014520,Peshawri,4.5,Indian Healthy
8924,d3268182,Nawab Saheb,5.0,Indian
8925,d6929570,By the Mekong,4.5,Asian Cantonese Szechuan Shanghai
8926,d16845556,Yeda Republic,5.0,Asian
8927,d6158439,The Brasserie,4.5,Indian International Asian
8928,d17609451,Gallery Café,5.0,Indian International Asian Healthy
8929,d5998754,Ark Bar,5.0,Bar Pub Fusion Wine Bar
8930,d1138825,Lotus Cafe,4.5,Indian Cafe International
8931,d13802904,Banjara The Restaurant,5.0,Indian Seafood Asian
8932,d1370074,Dakshin Coastal,4.5,Indian
8933,d947165,Flamboyante,4.5,Indian
8934,d5899260,Bombay High,5.0,Bar
8935,d7707818,The Bombay Canteen,4.5,Indian
8936,d1202559,It's Mirchi,4.5,Indian
8937,d4064145,The Arthouse,4.5,Indian International
8938,d1957837,Lake View Cafe,4.5,Indian Cafe International Asian
8939,d5901185,Fountain Sizzlers,4.5,Indian
8940,d5913736,Tuskers - Vegetarian Dining & Bar,4.5,Indian
8941,d21387580,Fiona,5.0,Italian Indian Bar Asian
8942,d10539996,Dashanzi,5.0,Chinese Japanese Sushi Asian
8943,d2034920,Namak,5.0,Indian
8944,d8010527,Saptami,5.0,Indian
8945,d1008614,Mabruk,5.0,Lebanese Mediterranean Middle Eastern
8946,d26582107,FUMI - East Asian Spice Trail,5.0,Chinese Japanese Sushi Asian Thai
8947,d17728654,Citrus Cafe,5.0,Italian Indian Cajun & Creole European Asian
8948,d15223662,Ummrao,5.0,Indian
8949,d804433,Kebabs & Kurries,5.0,Indian
8950,d3163674,Jyran - Tandoor Dining & Lounge,4.5,Indian
8951,d21511592,Rasoi Kitchen & Bar,5.0,Indian
8952,d19428928,Tanatan Shivaji Park,5.0,Indian
8953,d1014520,Peshawri,4.5,Indian Healthy
8954,d3268182,Nawab Saheb,5.0,Indian
8955,d6929570,By the Mekong,4.5,Asian Cantonese Szechuan Shanghai
8956,d16845556,Yeda Republic,5.0,Asian
8957,d6158439,The Brasserie,4.5,Indian International Asian
8958,d17609451,Gallery Café,5.0,Indian International Asian Healthy
8959,d5998754,Ark Bar,5.0,Bar Pub Fusion Wine Bar
8960,d1138825,Lotus Cafe,4.5,Indian Cafe International
8961,d13802904,Banjara The Restaurant,5.0,Indian Seafood Asian
8962,d1370074,Dakshin Coastal,4.5,Indian
8963,d947165,Flamboyante,4.5,Indian
8964,d5899260,Bombay High,5.0,Bar
8965,d7707818,The Bombay Canteen,4.5,Indian
8966,d1202559,It's Mirchi,4.5,Indian
8967,d4064145,The Arthouse,4.5,Indian International
8968,d1957837,Lake View Cafe,4.5,Indian Cafe International Asian
8969,d5901185,Fountain Sizzlers,4.5,Indian
8970,d5913736,Tuskers - Vegetarian Dining & Bar,4.5,Indian
8971,d21387580,Fiona,5.0,Italian Indian Bar Asian
8972,d10539996,Dashanzi,5.0,Chinese Japanese Sushi Asian
8973,d2034920,Namak,5.0,Indian
8974,d8010527,Saptami,5.0,Indian
8975,d1008614,Mabruk,5.0,Lebanese Mediterranean Middle Eastern
8976,d26582107,FUMI - East Asian Spice Trail,5.0,Chinese Japanese Sushi Asian Thai
8977,d17728654,Citrus Cafe,5.0,Italian Indian Cajun & Creole European Asian
8978,d15223662,Ummrao,5.0,Indian
8979,d804433,Kebabs & Kurries,5.0,Indian
